"x" "y" "res" "year"
746399.4458 4289124.7021 1 2018
746394.713 4289122.5963 1 2018
761920.6544 4293054.8478 0 2018
752016.1888 4287300.0299 0 2018
751988.3326 4287296.0239 1 2018
751986.125 4287299.8582 1 2018
751963.7859 4287327.923 1 2018
751955.1371 4287344.0516 1 2018
751930.3797 4287408.6754 1 2018
751855.3071 4287469.6953 0 2018
751930.0103 4287437.0746 0 2018
751877.0788 4287495.9241 0 2018
762160.7272 4292400.6053 0 2018
762097.1485 4292395.1079 0 2018
762056.5735 4292384.7455 0 2018
762033.5019 4292451.8458 1 2018
762066.9824 4292450.2241 0 2018
762063.0757 4292431.755 0 2018
762157.2126 4292529.8184 1 2018
761256.4518 4291475.3372 0 2018
761234.3357 4291472.9375 1 2018
761355.0278 4291362.6202 1 2018
761289.4535 4291386.7903 0 2018
761900.3368 4293062.5172 0 2018
761428.5466 4292597.1628 0 2018
761450.0978 4292597.448 1 2018
761501.4157 4292530.0081 0 2018
761726.7621 4293136.8515 0 2018
761970.631 4293205.5595 0 2018
761942.0393 4293228.5171 0 2018
761922.6207 4293183.5961 0 2018
762245.8515 4292514.4519 0 2018
762251.5107 4292470.9087 1 2018
762229.1176 4292417.0574 1 2018
762257.2666 4292398.3152 0 2018
762278.7378 4292452.6136 1 2018
762311.4868 4292398.9623 1 2018
761480.5772 4292545.2428 0 2018
761488.4929 4292557.3053 0 2018
751770.7563 4286728.8547 0 2018
762244.0613 4292440.753 1 2018
762165.9344 4292455.4015 0 2018
762216.0446 4292506.4233 1 2018
763098.1579 4292212.0209 0 2018
763043.155 4292288.0069 0 2018
761266.4802 4291464.8476 1 2018
761222.6437 4291461.8633 0 2018
761204.4772 4291432.8144 0 2018
761328.4755 4291425.5764 0 2018
761495.1305 4292489.5812 0 2018
746387.6042 4289119.6361 0 2018
746379.9827 4289119.7345 0 2018
746373.4921 4289120.7194 0 2018
746365.7823 4289126.0421 1 2018
746361.0264 4289129.6004 1 2018
746449.1759 4289165.7893 1 2018
746446.8228 4289163.114 1 2018
746459.0108 4289175.2941 0 2018
746447.5923 4289170.1613 1 2018
746441.9057 4289160.4978 1 2018
746437.1274 4289153.9808 1 2018
746467.6864 4289185.1487 0 2018
746462.7498 4289182.5561 0 2018
746454.1161 4289176.9847 0 2018
746441.6561 4289165.5108 0 2018
751827.8635 4286689.83 1 2018
753056.3985 4285041.8759 0 2018
753077.9582 4285004.7972 0 2018
753027.7585 4285050.548 0 2018
762634.3948 4288974.6223 0 2018
762659.5734 4288995.712 1 2018
762632.8886 4289020.0032 1 2018
761897.5154 4293115.7989 0 2018
761837.6246 4293079.0913 0 2018
751841.0603 4286682.2006 0 2018
763109.2846 4292313.6459 1 2018
761251.9822 4291433.1496 1 2018
762626.1031 4288973.419 0 2018
762501.0633 4289080.5587 0 2018
751720.7692 4286841.8073 0 2018
751700.146 4286736.8274 1 2018
751687.939 4286739.9251 1 2018
751687.8136 4286790.3994 0 2018
751673.5765 4286851.0305 0 2018
751665.7 4286836.8784 0 2018
752917.063 4284955.4929 0 2018
760091.6171 4293508.1248 0 2018
760255.5803 4293549.3576 0 2018
760137.7499 4293427.155 0 2018
760166.9961 4293494.0017 1 2018
752982.6778 4285000.564 0 2018
752945.1845 4284966.1906 0 2018
746444.0934 4289174.8793 1 2018
746441.6573 4289171.4192 0 2018
746434.417 4289158.4031 0 2018
746432.4415 4289155.0748 0 2018
746388.1462 4289123.8023 0 2018
746382.1577 4289123.0848 0 2018
746378.0677 4289123.9857 1 2018
746374.7331 4289125.4131 1 2018
746369.8129 4289129.763 0 2018
746364.2299 4289133.6737 1 2018
746438.0654 4289175.5416 0 2018
