"x","y","R_t0","f1_t0"
753771.00234,4296779.64118111,0,0
753778.00234,4296779.64118111,0,0
753785.00234,4296779.64118111,0,0
753792.00234,4296779.64118111,0,0
753799.00234,4296779.64118111,0,0
753778.00234,4296772.64118111,0,0
753785.00234,4296772.64118111,0,0
753792.00234,4296772.64118111,0,0
753799.00234,4296772.64118111,0,0
753778.00234,4296765.64118111,0,0
753785.00234,4296765.64118111,0,0
753792.00234,4296765.64118111,0,0
753799.00234,4296765.64118111,0,0
753778.00234,4296758.64118111,0,0
753785.00234,4296758.64118111,0,0
753792.00234,4296758.64118111,0,0
753799.00234,4296758.64118111,0,0
753785.00234,4296751.64118111,0,0
753792.00234,4296751.64118111,0,0
753799.00234,4296751.64118111,0,0
753792.00234,4296744.64118111,0,0
753799.00234,4296744.64118111,0,0
753806.00234,4296744.64118111,0,0
753792.00234,4296737.64118111,0,0
753799.00234,4296737.64118111,0,0
753806.00234,4296737.64118111,0,0
753792.00234,4296730.64118111,0,0
753799.00234,4296730.64118111,0,0
753806.00234,4296730.64118111,0,0
755038.00234,4296730.64118111,0,0
755045.00234,4296730.64118111,0,0
755052.00234,4296730.64118111,0,0
753792.00234,4296723.64118111,0,0
753799.00234,4296723.64118111,0,0
753806.00234,4296723.64118111,0,0
755031.00234,4296723.64118111,0,0
755038.00234,4296723.64118111,0,0
755045.00234,4296723.64118111,0,0
755052.00234,4296723.64118111,0,0
753799.00234,4296716.64118111,0,0
753806.00234,4296716.64118111,0,0
755024.00234,4296716.64118111,0,0
755031.00234,4296716.64118111,0,0
755038.00234,4296716.64118111,0,0
755045.00234,4296716.64118111,0,0
755052.00234,4296716.64118111,0,0
753799.00234,4296709.64118111,0,0
753806.00234,4296709.64118111,0,0
755024.00234,4296709.64118111,0,0
755031.00234,4296709.64118111,0,0
755038.00234,4296709.64118111,0,0
755045.00234,4296709.64118111,0,0
755052.00234,4296709.64118111,0,0
753799.00234,4296702.64118111,0,0
753806.00234,4296702.64118111,0,0
753813.00234,4296702.64118111,0,0
755017.00234,4296702.64118111,0,0
755024.00234,4296702.64118111,0,0
755031.00234,4296702.64118111,0,0
755038.00234,4296702.64118111,0,0
755045.00234,4296702.64118111,0,0
755059.00234,4296702.64118111,0,0
753799.00234,4296695.64118111,0,0
753806.00234,4296695.64118111,0,0
753813.00234,4296695.64118111,0,0
755010.00234,4296695.64118111,0,0
755017.00234,4296695.64118111,0,0
755024.00234,4296695.64118111,0,0
755031.00234,4296695.64118111,0,0
755038.00234,4296695.64118111,0,0
755045.00234,4296695.64118111,0,0
755066.00234,4296695.64118111,0,0
753799.00234,4296688.64118111,0,0
753806.00234,4296688.64118111,0,0
753813.00234,4296688.64118111,0,0
755010.00234,4296688.64118111,0,0
755017.00234,4296688.64118111,0,0
755024.00234,4296688.64118111,0,0
755031.00234,4296688.64118111,0,0
755038.00234,4296688.64118111,0,0
755073.00234,4296688.64118111,0,0
753799.00234,4296681.64118111,0,0
753806.00234,4296681.64118111,0,0
755017.00234,4296681.64118111,0,0
755024.00234,4296681.64118111,0,0
